node_name/road_id,start_lat,start_lng,end_lat,end_lng,length,level, freq_cnt
1387,140,111,135,110,295.56894446859076,tertiary,1
1388,94,38,94,37,50.61826391612864,trunk,1
1389,78,63,80,61,144.33596457316284,tertiary,1
1390,135,53,135,53,13.179378713528497,tertiary,1
1391,41,136,42,143,449.04518086871184,secondary,1
1392,94,48,96,46,171.02489712884832,tertiary,1
1393,94,42,94,42,25.83132486191397,tertiary,1
1394,14,50,13,28,1247.8770072034745,primary,1
1395,161,42,161,42,9.006254885584443,secondary,1
1396,67,47,74,48,392.99454715155525,primary,1
1397,140,143,139,144,80.36575295030201,secondary,1
1398,76,64,78,63,115.18587870474877,tertiary,1
1399,80,61,81,61,28.80295301315377,tertiary,1
1400,81,61,83,61,99.9651046446365,tertiary,1
1401,44,72,50,75,319.1118104480962,tertiary,1
1402,71,57,70,57,17.200225106826906,trunk,1
1403,156,22,156,8,825.8631728328533,primary,1
1404,25,58,25,58,9.261568807675681,secondary,1
1405,9,17,10,17,33.40398039164775,secondary,1
1406,13,18,14,18,59.3179057057325,secondary,1
1407,17,19,17,19,43.528750899874225,secondary,1
1408,17,19,13,22,274.38978175714846,primary,1
1409,13,22,13,23,37.088292802818074,primary,1
1410,13,26,13,22,526.3590156535236,primary,1
1411,20,26,4,27,809.844767574469,primary,1
1412,21,98,21,98,10.27400104618172,primary,1
1413,21,98,21,98,10.654151389014366,primary,1
1414,21,98,21,98,10.264843831872733,primary,1
1415,64,83,67,78,308.32629505595355,tertiary,1
1416,75,148,60,130,1358.8831792118817,primary,1
1417,128,118,125,117,173.00037230499427,tertiary,1
1418,115,60,161,100,7087.948616359696,trunk,1
1419,149,76,149,76,28.438990139020536,secondary,1
1420,71,137,73,134,199.12937482014183,tertiary,1
1421,94,59,94,59,11.091277552452667,primary,1
1422,39,104,39,104,12.77747711962768,tertiary,1
1423,27,55,33,47,603.1097878211616,secondary,1
1424,141,106,140,111,281.7170535600589,tertiary,1
1425,140,111,139,119,459.34753438760697,tertiary,1
1426,132,123,131,133,523.2446937416229,secondary,1
1427,161,71,160,71,44.70808935537102,secondary,1
1428,159,70,157,70,72.18990981526642,secondary,1
1429,28,90,30,95,282.1793634626631,tertiary,1
1430,70,122,62,130,584.4761301157614,tertiary,1
1431,127,37,124,42,310.24695014640145,tertiary,1
1432,124,42,122,46,269.40189512570595,tertiary,1
1433,67,78,64,83,308.32629505595355,tertiary,1
1434,60,89,60,89,20.004582196306245,tertiary,1
1435,70,144,67,142,219.96291837726244,secondary,1
1436,67,142,63,139,233.45981228305448,secondary,1
1437,28,132,29,131,15.445310625885176,tertiary,1
1438,109,111,109,111,30.64751939692096,tertiary,1
1439,108,110,109,110,9.686872454636006,tertiary,1
1440,52,132,54,137,291.86787572987964,tertiary,1
1441,19,123,13,126,340.9459504218712,tertiary,1
1442,13,126,7,129,318.32747501440434,tertiary,1
1443,156,7,145,0,754.895058778507,primary,1
1444,53,26,53,26,26.2069520548439,primary,1
1445,40,92,38,87,281.77010106605593,tertiary,1
1446,82,24,82,24,12.604620135074553,tertiary,1
1447,73,16,70,8,453.02753554348345,primary,1
1448,147,50,151,50,209.43167169665298,secondary,1
1449,51,62,51,63,41.272561810141895,tertiary,1
1450,96,80,96,80,12.77630121562882,primary,1
1451,15,119,15,119,22.006570878544167,trunk,1
1452,25,65,20,64,233.06229356959884,tertiary,1
1453,20,64,20,63,6.9152301673728,tertiary,1
1454,24,58,25,58,41.81163940788624,secondary,1
1455,60,89,60,89,20.004582196306245,tertiary,1
1456,53,11,53,10,11.368955295972567,secondary,1
1457,130,5,130,9,216.4711209698745,secondary,1
1458,25,58,25,58,7.254120855450839,secondary,1
1459,70,122,70,122,53.630153235817914,tertiary,1
1460,156,8,156,7,32.15766182753569,primary,1
1461,140,10,139,10,68.63310718392775,secondary,1
1462,137,10,136,4,328.92146225782085,tertiary,1
1463,67,135,63,138,268.5659585001884,secondary,1
1464,68,63,71,64,187.7897088744001,tertiary,1
1465,54,137,46,144,553.705313365072,tertiary,1
1466,33,58,33,58,16.75331164353639,secondary,1
1467,56,121,56,122,11.394683856530031,tertiary,1
1468,67,47,67,47,13.776552809832651,tertiary,1
1469,144,0,156,7,747.0460472670302,primary,1
1470,156,22,152,23,171.01947103548002,secondary,1
1471,120,81,124,82,209.3333118452379,tertiary,1
1472,124,82,128,83,188.77479645004018,tertiary,1
1473,27,77,28,75,133.18781601979765,tertiary,1
1474,86,69,93,66,475.1871952854402,tertiary,1
1475,152,23,156,23,167.2828821799592,secondary,1
1476,18,19,1,12,911.1389703973664,secondary,1
1477,28,75,24,73,192.92977420045946,tertiary,1
1478,42,98,46,97,237.69229076359184,tertiary,1
1479,21,129,20,126,179.71813940656577,tertiary,1
1480,20,126,19,123,134.13268212893146,tertiary,1
1481,19,123,18,118,282.23399077764145,tertiary,1
1482,18,118,19,123,282.23399077764145,tertiary,1
1483,16,87,18,84,205.68201656110517,primary,1
1484,35,48,38,44,238.32983193480842,tertiary,1
1485,33,43,14,44,945.966503405379,primary,1
1486,14,41,33,40,949.8297304183405,tertiary,1
1487,93,8,94,8,41.992553374326164,primary,1
1488,42,98,37,100,245.872285034949,tertiary,1
1489,140,75,136,99,1349.214503589274,secondary,1
1490,116,36,116,31,228.28020338810217,tertiary,1
1491,119,138,118,137,93.60597212293794,tertiary,1
1492,81,61,81,61,10.75432041784486,tertiary,1
1493,1,112,1,112,25.26760179642551,primary,1
1494,11,112,20,112,483.8824773666555,tertiary,1
1495,20,126,21,129,179.71813940656577,tertiary,1
1496,133,118,139,119,293.48162972579667,tertiary,1
1497,139,119,144,120,274.72581341049965,tertiary,1
1498,76,132,73,134,184.9877637012779,tertiary,1
1499,73,134,71,137,199.12937482014183,tertiary,1
1500,8,17,9,17,13.771429992520247,secondary,1
1501,51,63,51,62,41.272561810141895,tertiary,1
1502,53,58,54,58,35.64856231203419,tertiary,1
1503,85,103,85,104,24.165840021310697,tertiary,1
1504,13,32,9,33,219.77478668028053,primary,1
1505,109,111,109,111,3.9058241098828845,tertiary,1
1506,161,6,158,7,180.20064828672434,trunk,1
1507,155,7,155,7,15.41555095266836,trunk,1
1508,150,6,150,6,35.972476913767146,trunk,1
1509,58,28,53,26,278.7381968708506,secondary,1
1510,67,135,67,135,32.24641645952444,primary,1
1511,92,124,86,115,624.770394135225,tertiary,1
1512,142,91,145,76,887.304032788737,tertiary,1
1513,79,11,80,11,19.557104934689992,tertiary,1
1514,150,6,149,6,17.289464754997887,trunk,1
1515,138,22,138,22,14.360390746003109,secondary,1
1516,133,38,133,38,8.453893104061356,secondary,1
1517,133,38,133,37,11.632554777145995,secondary,1
1518,40,54,38,57,184.4676821449523,tertiary,1
1519,81,61,81,61,22.630062135220424,tertiary,1
1520,145,40,145,40,13.046996928106582,secondary,1
1521,19,66,19,66,11.425764782537733,secondary,1
1522,20,80,20,80,18.29068003582436,secondary,1
1523,13,27,13,27,22.581970120586522,primary,1
1524,13,26,18,19,499.04384209180887,primary,1
1525,119,8,122,12,277.3094220356238,tertiary,1
1526,101,116,111,116,510.93531033555917,tertiary,1
1527,135,143,152,148,921.8853641841307,secondary,1
1528,79,11,79,11,19.678020634012164,tertiary,1
1529,79,11,81,17,323.176220751399,tertiary,1
1530,37,100,37,100,8.927527834747044,tertiary,1
1531,36,19,36,19,11.395675403921148,secondary,1
1532,124,131,124,122,508.0539870859077,tertiary,1
1533,130,9,130,5,220.2975831167115,secondary,1
1534,130,5,123,6,364.07942617644886,tertiary,1
1535,59,18,59,18,8.243818105169321,primary,1
1536,52,26,47,26,280.77684812787504,secondary,1
1537,43,26,37,26,298.2887629865792,primary,1
1538,37,26,27,26,472.4424260477831,secondary,1
1539,19,26,27,26,407.26094138973576,primary,1
1540,130,9,130,9,12.25792059567883,secondary,1
1541,37,145,33,139,369.6926464220077,primary,1
1542,55,48,49,56,591.0550272083004,tertiary,1
1543,30,107,28,103,280.1078201318189,secondary,1
1544,28,103,32,101,242.50610025079524,tertiary,1
1545,47,26,58,28,604.9999729757455,primary,1
1546,129,1,130,5,290.3750845218556,secondary,1
1547,62,86,56,83,345.9569521896675,tertiary,1
1548,60,120,61,124,249.07675028088073,tertiary,1
1549,120,81,126,77,356.82114633335055,tertiary,1
1550,9,98,11,96,147.9378632874374,primary,1
1551,11,96,11,95,37.10573278676918,primary,1
1552,11,95,12,94,26.51672988427442,primary,1
1553,21,98,21,98,11.011769968457573,primary,1
1554,145,64,140,75,654.1568607305061,secondary,1
1555,141,75,145,76,224.33132164238265,tertiary,1
1556,145,76,149,76,217.3725960910798,tertiary,1
1557,149,99,149,99,5.988128659498066,secondary,1
1558,67,47,66,50,176.85881072816227,tertiary,1
1559,66,50,63,56,372.3691483487939,tertiary,1
1560,59,61,59,61,13.969034127326267,tertiary,1
1561,128,83,128,83,13.339582389115142,tertiary,1
1562,45,5,53,0,728.5848572450792,secondary,1
1563,47,2,47,3,60.21034267741649,secondary,1
1564,93,8,87,10,334.6076342853911,primary,1
1565,56,45,56,45,6.632884356192527,primary,1
1566,13,126,19,123,340.9459504218712,tertiary,1
1567,79,54,84,54,237.68829123984466,tertiary,1
1568,122,93,122,93,15.485325083191992,tertiary,1
1569,60,130,75,148,1374.1311253915383,primary,1
1570,45,22,45,22,13.235657566869207,secondary,1
1571,19,66,17,69,204.432084294789,secondary,1
1572,132,47,128,46,218.41217191388756,tertiary,1
1573,128,46,128,50,197.07338727976068,tertiary,1
1574,128,50,120,52,404.1036476292546,secondary,1
1575,120,52,120,52,14.565019144908755,tertiary,1
1576,118,78,102,77,931.5855208771295,tertiary,1
1577,127,123,128,118,268.85915696959563,tertiary,1
1578,39,112,40,116,253.98652298123653,tertiary,1
1579,54,137,56,141,229.68821710298397,tertiary,1
1580,154,7,153,6,74.96626854902328,trunk,1
1581,81,61,81,61,22.630062135220424,tertiary,1
1582,46,30,44,33,229.05127853277796,tertiary,1
1583,44,33,46,30,229.05127853277796,tertiary,1
1584,74,48,74,48,15.99444157672788,primary,1
1585,60,46,62,42,227.22454831520997,tertiary,1
1586,82,31,75,30,362.5706600505439,tertiary,1
1587,45,115,47,119,256.02628309722377,tertiary,1
1588,47,119,45,115,256.02628309722377,tertiary,1
1589,11,78,11,78,18.631487609736197,secondary,1
1590,47,144,54,137,550.0077723621297,tertiary,1
1591,157,69,156,69,45.17519055174858,trunk,1
1592,131,133,124,131,347.6520504888647,tertiary,1
1593,149,64,149,64,10.325672210632149,tertiary,1
1594,60,113,57,115,174.7311100903727,tertiary,1
1595,57,116,59,118,172.20674779472373,tertiary,1
1596,59,118,60,120,89.56541621474786,tertiary,1
1597,27,55,27,55,8.194278049798887,secondary,1
1598,71,36,70,42,340.1920070985981,tertiary,1
1599,22,117,22,117,32.91540533385854,primary,1
1600,75,48,74,48,16.18216311942923,primary,1
1601,106,85,106,85,11.608632408519178,tertiary,1
1602,34,106,39,104,244.30110688584037,tertiary,1
1603,71,64,68,63,187.7897088744001,tertiary,1
1604,124,42,127,37,310.24695014640145,tertiary,1
1605,104,87,106,85,155.99037952137778,tertiary,1
1606,88,126,88,126,11.252026106065578,secondary,1
1607,33,139,17,147,912.7620279169546,tertiary,1
1608,28,132,33,139,489.9097461883277,tertiary,1
1609,139,119,139,119,10.6395882252675,tertiary,1
1610,104,93,107,93,147.45585598787181,tertiary,1
1611,161,5,156,7,361.3625312307835,secondary,1
1612,78,4,82,1,277.55052555964943,tertiary,1
1613,82,1,87,10,549.9701074298622,tertiary,1
1614,94,8,87,0,887.615742089063,primary,1
1615,136,91,133,90,145.91461690995868,tertiary,1
1616,14,18,14,18,11.648879098376497,secondary,1
1617,120,81,118,78,161.73891549016997,tertiary,1
1618,7,102,9,98,260.0779040748797,primary,1
1619,72,12,72,12,9.32422911997667,primary,1
1620,50,75,50,75,18.18327172656731,tertiary,1
1621,65,28,64,28,17.64443913276517,secondary,1
1622,161,107,155,105,384.79855773850375,tertiary,1
1623,155,105,156,101,219.3100895184848,tertiary,1
1624,106,85,106,85,11.608632408519178,tertiary,1
1625,33,66,31,69,178.80861878415624,tertiary,1
1626,129,75,129,75,14.88734322477292,tertiary,1
1627,101,0,104,2,241.83309957930376,tertiary,1
1628,104,2,104,2,13.097622186228387,tertiary,1
1629,135,105,141,106,295.05145708429075,tertiary,1
1630,35,94,35,93,13.96213957376126,secondary,1
1631,33,89,33,89,9.410700863771952,secondary,1
1632,38,49,35,48,180.18926026008558,secondary,1
1633,35,48,33,44,282.22307293864486,secondary,1
1634,141,142,141,140,122.28661161628949,trunk,1
1635,94,36,94,36,30.312191426620526,primary,1
1636,113,91,108,89,269.24730645761,tertiary,1
1637,56,122,56,121,11.394683856530031,tertiary,1
1638,34,106,30,107,246.08528968689305,tertiary,1
1639,27,26,37,26,471.4851959226976,secondary,1
1640,37,26,43,26,292.9224213028093,primary,1
1641,45,22,45,22,10.298549207511279,secondary,1
1642,54,137,58,136,201.28262588824222,tertiary,1
1643,114,89,117,84,329.83752931456263,tertiary,1
1644,8,27,15,27,351.1563816836945,primary,1
1645,13,27,13,28,52.071104817616146,primary,1
1646,13,28,13,32,266.4773613510846,primary,1
1647,13,32,13,38,314.1378815226931,primary,1
1648,13,38,13,44,328.1372333378089,primary,1
1649,42,86,42,86,7.307443678844896,secondary,1
1650,39,104,39,104,12.77747711962768,tertiary,1
1651,113,8,110,10,188.7417231740144,tertiary,1
1652,14,41,14,38,141.26641299750833,primary,1
1653,14,38,14,32,314.9554621451156,primary,1
1654,14,30,13,28,118.18124809176331,primary,1
1655,108,89,113,91,269.24730645761,tertiary,1
1656,113,91,112,93,86.08922541833066,tertiary,1
1657,112,93,114,95,169.8392252906374,tertiary,1
1658,114,95,112,93,169.8392252906374,tertiary,1
1659,112,93,113,91,86.08922541833066,tertiary,1
1660,26,0,25,1,103.38474550304697,primary,1
1661,56,141,54,137,229.68821710298397,tertiary,1
1662,129,89,126,88,162.77649552201922,tertiary,1
1663,126,88,125,88,13.777713065373085,tertiary,1
1664,89,125,107,123,918.6163809850866,secondary,1
1665,117,84,120,81,227.32568272857623,tertiary,1
1666,8,44,9,44,72.43278062266721,primary,1
1667,10,44,12,44,99.5304169078642,primary,1
1668,57,116,57,115,11.803213644799355,tertiary,1
1669,32,114,32,114,33.247580481180954,secondary,1
1670,114,81,117,84,214.9152061448329,tertiary,1
1671,118,78,120,81,161.73891549016997,tertiary,1
1672,26,62,22,61,226.1093182844421,tertiary,1
1673,45,39,45,39,9.877203913949039,primary,1
1674,92,1,93,3,77.08877190090236,trunk,1
1675,107,93,112,93,236.73470319229082,tertiary,1
1676,77,54,75,53,108.01600017879238,tertiary,1
1677,122,93,122,93,22.506908707418777,primary,1
1678,45,39,45,39,11.900217564735806,primary,1
1679,45,39,45,39,18.195203811413208,primary,1
1680,72,16,60,19,638.0266604141218,tertiary,1
1681,51,83,53,84,108.44054294929369,primary,1
1682,18,19,18,19,15.704007049959943,secondary,1
1683,10,17,10,17,34.286234505954226,secondary,1
1684,43,26,43,26,12.209223500219577,primary,1
